SMILES,predicted_proxy,novelty,MW
O=P(O)(O)Oc1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.5435,0.6061,329.25
O=P(O)(O)c1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.5431,0.5714,313.25
O=P(O)(O)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.5381,0.4167,310.29
O=P(O)(O)Oc1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.5379,0.5333,326.29
O=P(O)(O)Oc1nc(OP(=O)(O)O)nc(-c2ccccc2)n1,0.5224,0.6061,349.13
O=P(O)(O)Oc1nc(O)nc(-c2ccccc2)n1,0.5151,0.6486,269.15
O=P(O)(O)c1nc(-c2ccccc2)nc(P(=O)(O)O)n1,0.5120,0.5714,317.13
O=P(O)(O)c1nc(-c2ccccc2)nc(S(=O)(=O)O)n1,0.5117,0.6667,317.22
O=P(O)(O)Oc1nc(-c2ccccc2)nc(S(=O)(=O)O)n1,0.5112,0.6829,333.22
O=P(O)(O)Oc1nc(-c2ccccc2)nc(P(=O)(O)O)n1,0.5102,0.6579,333.13
O=P(O)(O)Oc1nc(O)nc(OP(=O)(O)O)n1,0.5059,0.7419,289.03
Nc1nc(OP(=O)(O)O)nc(-c2ccccc2)n1,0.5028,0.6579,268.17
O=P(O)(O)Oc1cc(-c2ccccc2)cc(P(=O)(O)O)c1,0.5011,0.5625,330.17
O=P(O)(O)c1cc(-c2ccccc2)cc(S(=O)(=O)O)c1,0.4997,0.5625,314.25
O=P(O)(O)c1cc(-c2ccccc2)cc(P(=O)(O)O)c1,0.4997,0.4167,314.17
O=P(O)(O)c1ccc(S(=O)(=O)c2ccccc2)cc1,0.4995,0.4000,298.26
O=P(O)(O)Oc1ccc(S(=O)(=O)c2ccccc2)cc1,0.4966,0.4815,314.26
O=P(O)(O)Oc1cc(OP(=O)(O)O)cc(-c2ccccc2)c1,0.4962,0.5333,346.17
O=S(=O)(O)c1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.4958,0.6800,313.34
O=P(O)(O)Oc1nc(OP(=O)(O)O)nc(OP(=O)(O)O)n1,0.4949,0.7037,369.01
O=P(O)(O)Oc1nc(OP(=O)(O)O)nc(S(=O)(=O)O)n1,0.4947,0.7714,353.10
O=P(O)(O)Oc1cc(-c2ccccc2)cc(S(=O)(=O)O)c1,0.4946,0.6316,330.25
Nc1nc(OP(=O)(O)O)nc(OP(=O)(O)O)n1,0.4942,0.6818,288.05
O=P(O)(O)Oc1nc(OP(=O)(O)O)nc(P(=O)(O)O)n1,0.4938,0.7500,353.01
O=P(O)(O)Oc1cc(O)cc(-c2ccccc2)c1,0.4936,0.5882,266.19
O=P(O)(O)c1nc(O)nc(-c2ccccc2)n1,0.4935,0.6250,253.15
c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1,0.4908,0.4667,309.37
Nc1cc(OP(=O)(O)O)cc(-c2ccccc2)c1,0.4880,0.6000,265.20
O=P(O)(O)Oc1nc(O)nc(S(=O)(=O)O)n1,0.4874,0.7949,273.12
O=P(O)(O)Oc1nc(O)nc(P(=O)(O)O)n1,0.4868,0.7778,273.03
O=P(O)(O)Oc1ccc(Oc2ccccc2)cc1,0.4847,0.3846,266.19
O=P(O)(O)c1nc(P(=O)(O)O)nc(S(=O)(=O)O)n1,0.4835,0.7667,321.10
O=P(O)(O)c1nc(P(=O)(O)O)nc(P(=O)(O)O)n1,0.4834,0.6429,321.02
O=P(O)(O)Oc1nc(S(=O)(=O)O)nc(S(=O)(=O)O)n1,0.4833,0.7714,337.18
O=P(O)(O)c1nc(S(=O)(=O)O)nc(S(=O)(=O)O)n1,0.4831,0.7667,321.19
Nc1nc(-c2ccccc2)nc(P(=O)(O)O)n1,0.4828,0.6250,252.17
O=P(O)(O)Oc1nc(P(=O)(O)O)nc(S(=O)(=O)O)n1,0.4826,0.8000,337.10
O=P(O)(O)Oc1nc(P(=O)(O)O)nc(P(=O)(O)O)n1,0.4825,0.7500,337.01
Nc1nc(OP(=O)(O)O)nc(S(=O)(=O)O)n1,0.4766,0.7667,272.13
Nc1nc(OP(=O)(O)O)nc(P(=O)(O)O)n1,0.4758,0.7407,272.05
O=P(O)(O)Oc1cc(O)cc(OP(=O)(O)O)c1,0.4730,0.6552,286.07
O=P(O)(O)c1cc(O)cc(-c2ccccc2)c1,0.4729,0.5000,250.19
O=S(=O)(O)c1nc(-c2ccccc2)nc(S(=O)(=O)O)n1,0.4726,0.6800,317.30
Nc1cc(OP(=O)(O)O)cc(OP(=O)(O)O)c1,0.4705,0.6667,285.08
O=P(O)(O)c1nc(O)nc(S(=O)(=O)O)n1,0.4704,0.7941,257.12
Nc1cc(-c2ccccc2)cc(P(=O)(O)O)c1,0.4698,0.5172,249.21
O=P(O)(O)Oc1cc(OP(=O)(O)O)cc(P(=O)(O)O)c1,0.4684,0.6296,350.05
O=P(O)(O)Oc1cc(P(=O)(O)O)cc(S(=O)(=O)O)c1,0.4680,0.7143,334.14
O=P(O)(O)c1ccc(Oc2ccccc2)cc1,0.4680,0.3750,250.19
O=P(O)(O)c1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1,0.4674,0.6296,318.22
O=P(O)(O)Oc1cc(P(=O)(O)O)cc(P(=O)(O)O)c1,0.4673,0.6207,334.05
O=P(O)(O)c1nc(O)nc(P(=O)(O)O)n1,0.4672,0.7222,257.04
O=P(O)(O)Oc1cc(O)cc(P(=O)(O)O)c1,0.4666,0.6774,270.07
O=P(O)(O)c1cc(P(=O)(O)O)cc(P(=O)(O)O)c1,0.4666,0.4737,318.05
O=P(O)(O)c1cc(P(=O)(O)O)cc(S(=O)(=O)O)c1,0.4661,0.6296,318.14
Oc1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.4659,0.6000,249.27
O=P(O)(O)Oc1ccccc1OP(=O)(O)O,0.4654,0.5200,270.07
O=S(=O)(c1ccccc1)c1ccc(-c2ccccc2)cc1,0.4636,0.2632,294.38
Nc1cc(OP(=O)(O)O)cc(P(=O)(O)O)c1,0.4634,0.6875,269.09
O=P(O)(O)Oc1cc(OP(=O)(O)O)cc(OP(=O)(O)O)c1,0.4634,0.6000,366.05
O=P(O)(O)Oc1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1,0.4626,0.6970,334.22
O=P(O)(O)Oc1cc(OP(=O)(O)O)cc(S(=O)(=O)O)c1,0.4624,0.6970,350.13
O=S(=O)(O)c1cc(-c2ccccc2)cc(-c2ccccc2)c1,0.4616,0.5909,310.37
Nc1cc(OP(=O)(O)O)cc(S(=O)(=O)O)c1,0.4613,0.7368,269.17
O=P(O)(O)Oc1cc(O)cc(S(=O)(=O)O)c1,0.4595,0.7297,270.15
Nc1nc(-c2ccccc2)nc(-c2ccccc2)n1,0.4585,0.5217,248.29
Nc1nc(P(=O)(O)O)nc(P(=O)(O)O)n1,0.4572,0.6316,256.05
Nc1nc(P(=O)(O)O)nc(S(=O)(=O)O)n1,0.4569,0.7407,256.14
O=P(O)(O)Oc1ccc(-c2ccccc2)cc1,0.4565,0.4444,250.19
O=P(O)(O)Oc1ccc(OP(=O)(O)O)cc1,0.4536,0.4783,270.07
O=P(O)(O)Oc1ccccc1-c1ccccc1,0.4535,0.5806,250.19
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,0.4525,0.2500,306.41
O=S(=O)(O)c1nc(O)nc(-c2ccccc2)n1,0.4523,0.7241,253.24
O=S(=O)(O)c1nc(S(=O)(=O)O)nc(S(=O)(=O)O)n1,0.4480,0.8125,321.27
Nc1nc(-c2ccccc2)nc(S(=O)(=O)O)n1,0.4448,0.7059,252.26
Nc1cc(P(=O)(O)O)cc(S(=O)(=O)O)c1,0.4413,0.6875,253.17
Nc1cc(P(=O)(O)O)cc(P(=O)(O)O)c1,0.4410,0.5833,253.09
O=P(O)(O)c1cc(O)cc(S(=O)(=O)O)c1,0.4372,0.6774,254.16
O=P(O)(O)Oc1ccc(P(=O)(O)O)cc1,0.4368,0.5200,254.07
O=P(O)(O)c1cc(O)cc(P(=O)(O)O)c1,0.4368,0.5652,254.07
O=P(O)(O)Oc1ccccc1P(=O)(O)O,0.4367,0.6000,254.07
O=P(O)(O)Oc1ccccc1S(=O)(=O)O,0.4333,0.6364,254.16
O=S(=O)(O)c1nc(O)nc(S(=O)(=O)O)n1,0.4333,0.8500,257.20
O=S(=O)(O)c1cc(-c2ccccc2)cc(S(=O)(=O)O)c1,0.4250,0.5909,314.34
Nc1nc(S(=O)(=O)O)nc(S(=O)(=O)O)n1,0.4246,0.6316,256.22
O=S(=O)(O)c1ccc(S(=O)(=O)c2ccccc2)cc1,0.4227,0.3000,298.34
O=P(O)(O)Oc1ccc(S(=O)(=O)O)cc1,0.4212,0.6129,254.16
O=P(O)(O)Oc1nc(O)nc(O)n1,0.4212,0.7000,209.05
Nc1nc(O)nc(OP(=O)(O)O)n1,0.4184,0.7308,208.07
Nc1cc(-c2ccccc2)cc(S(=O)(=O)O)c1,0.4179,0.6000,249.29
Nc1nc(N)nc(OP(=O)(O)O)n1,0.4141,0.6190,207.09
O=P(O)(O)c1nc(O)nc(O)n1,0.4131,0.7222,193.06
Nc1nc(O)nc(P(=O)(O)O)n1,0.4088,0.6957,192.07
Nc1nc(N)nc(P(=O)(O)O)n1,0.4075,0.5556,191.09
