SMILES,proxy_score
O=P(Nc1ccccc1)(Nc1ccccc1)Nc1ccccc1,0.7247
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,0.5695
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,0.5495
O=P1Oc2ccccc2-c2ccccc21,0.5195
O=P(O)(Oc1ccccc1)Oc1ccccc1,0.5173
ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1,0.4920
c1ccc2[nH]cnc2c1,0.4639
O=P(N)(N)N,0.4218
O=c1[nH]c(=O)[nH]c(=O)[nH]1,0.4204
O=P(O)(O)c1ccccc1,0.4183
Nc1nc(N)nc(N)n1,0.4066
c1ccc2ncccc2c1,0.4040
c1ccc2ncsc2c1,0.4040
N(c1ccccc1)(c1ccccc1)c1ccccc1,0.4036
c1nccnc1,0.3766
O=P(OC)(OC)c1ccccc1,0.3765
Nc1ccc(-c2ccccc2)cc1,0.3540
N(c1ccccc1)c1ccccc1,0.3540
O=P(OCC)(OCC)c1ccccc1,0.3404
Nc1ccc(N)cc1,0.3178
c1ccncc1,0.3167
c1ccc2cc3ccccc3cc2c1,0.3138
O=S(=O)(c1ccccc1)c1ccccc1,0.2785
O(c1ccccc1)c1ccccc1,0.2738
OP(=O)(O)O,0.2666
c1ccc(-c2ccccc2)cc1,0.2654
c1ccc2ccccc2c1,0.2654
Nc1ccccc1,0.2633
S(c1ccccc1)c1ccccc1,0.2616
O=C(c1ccccc1)c1ccccc1,0.2518
O=C1NC(=O)c2ccccc21,0.2466
c1ccc(Cc2ccccc2)cc1,0.2429
CP(=O)(O)O,0.2416
COP(=O)(O)OC,0.2298
CCP(=O)(O)O,0.2235
Oc1c(Br)cc(C(C)(C)c2cc(Br)c(O)c(Br)c2)cc1Br,0.2133
COP(=O)(OC)OC,0.2128
COP(C)(=O)OC,0.2065
c1ccccc1,0.1780
CCOP(=O)(OCC)OCC,0.1713
O=C(O)c1ccccc1,0.1658
Brc1ccc(Br)cc1,0.1655
Clc1ccccc1Cl,0.1655
CCOP(=O)(CC)OCC,0.1650
O=C(O)c1ccc(C(=O)O)cc1,0.1544
O=C(O)c1ccccc1C(=O)O,0.1544
NC(N)=O,0.1459
Cc1ccc(C)cc1,0.1288
O=C(OC)c1ccc(C(=O)OC)cc1,0.1182
O=C(OCCO)c1ccc(C(=O)OCCO)cc1,0.0947
O=C(OCC)c1ccc(C(=O)OCC)cc1,0.0896
CCOC(=O)c1ccccc1C(=O)OCC,0.0896
OCCO,0.0000
CCCCCC,0.0000
CCCCCCCCCC,0.0000
OCC(O)CO,0.0000
OCC(CO)(CO)CO,0.0000
OCCCCO,0.0000
OCCOCCO,0.0000
CCOC(C)=O,0.0000
CCO,0.0000
CCCCCO,0.0000
CC(=O)O,0.0000
